coluna,dtype,pct_nulos,n_unicos,resumo
cnpj_basico,str,0.0,46186,"top3={'61585865': 17, '47960950': 15, '88212113': 10}"
cnpj_ordem,str,0.0,282,"top3={'0001': 44066, '0002': 1123, '0003': 324}"
cnpj_dv,str,0.0,100,"top3={'00': 1484, '40': 821, '05': 800}"
identificador_matriz_filial,str,0.0,2,"top3={'1': 44070, '2': 2384}"
nome_fantasia,str,45.77,24228,"top3={'COMERCIO': 17, 'CACAU SHOW': 12, 'O BOTICARIO': 11}"
situacao_cadastral,str,0.0,2,"top3={'08': 27656, '02': 18798}"
data_situacao_cadastral,str,0.0,3273,"top3={'20190531': 66, '20190514': 63, '20190320': 63}"
motivo_situacao_cadastral,str,0.0,6,"top3={'01': 27635, '00': 18798, '05': 18}"
nome_cidade_exterior,str,100.0,2,"top3={'LONDON': 1, 'LEWES': 1}"
pais,str,100.0,2,"top3={'628': 1, '249': 1}"
data_inicio_atividade,str,0.0,1085,"top3={'20190320': 95, '20190410': 94, '20191008': 91}"
cnae_fiscal_principal,str,0.0,76,"top3={'4781400': 11433, '4712100': 3907, '4723700': 2600}"
cnae_fiscal_secundaria,str,32.52,17147,"top3={'4772500': 653, '4781400': 628, '4782201': 597}"
tipo_logradouro,str,0.0,176,"top3={'RUA': 30247, 'AVENIDA': 9471, 'ESTRADA': 833}"
logradouro,str,0.0,31075,"top3={'BRASIL': 181, 'GETULIO VARGAS': 165, 'SETE DE SETEMBRO': 118}"
numero,str,0.0,5476,"top3={'SN': 1874, 'S/N': 1064, '10': 261}"
complemento,str,55.48,8760,"top3={'CASA': 2479, 'LOJA': 905, 'TERREO': 324}"
bairro,str,0.0,13014,"top3={'CENTRO': 8822, 'Centro': 386, 'ZONA RURAL': 322}"
cep,str,0.0,31862,"top3={'68515000': 49, '13290000': 43, '88220000': 37}"
uf,str,0.0,28,"top3={'SP': 11349, 'MG': 5161, 'RJ': 3604}"
municipio,str,0.0,4232,"top3={'7107': 3085, '6001': 1323, '9701': 804}"
ddd1,str,0.0,80,"top3={'11': 5824, '21': 2539, '31': 1947}"
telefone1,str,0.0,45235,"top3={'00000000': 118, '0': 87, '99999999': 68}"
ddd2,str,95.39,68,"top3={'11': 300, '62': 84, '21': 72}"
telefone2,str,95.41,2038,"top3={'37695731': 9, '99999999': 9, '96757576': 7}"
ddd_fax,str,97.23,67,"top3={'11': 253, '19': 51, '62': 49}"
fax,str,97.24,1186,"top3={'99999999': 14, '37697213': 11, '33350100': 10}"
correio_eletronico,str,16.88,37903,"top3={'FISCAL.ESTADUAL@MAGAZINELUIZA.COM.BR': 15, 'CONTROLADORIA@PMENOS.COM.BR': 11, 'FISCALLEGALIZACAO@RD.COM.BR': 11}"
situacao_especial,str,99.98,3,"top3={'RECUPERACAO JUDICIAL': 5, 'ESPOLIO EV 407': 3, 'FALIDO': 1}"
data_situacao_especial,str,99.98,9,"top3={'20260731': 1, '20221208': 1, '20220620': 1}"
risco,int64,0.0,2,"min=0, mediana=1.0, max=1"
razao_social,str,0.0,46159,"top3={'RAIA DROGASIL S/A': 17, 'MAGAZINE LUIZA S/A': 15, 'COMERCIO DE MEDICAMENTOS BRAIR LTDA': 10}"
natureza_juridica,str,0.0,11,"top3={'2135': 37214, '2062': 8443, '2305': 578}"
qualificacao_responsavel,str,0.0,9,"top3={'50': 37212, '49': 8112, '65': 575}"
capital_social,float64,0.0,890,"min=0.0, mediana=5000.0, max=39918282257.31"
porte_empresa,str,0.0,3,"top3={'01': 43519, '03': 1885, '05': 1050}"
ente_federativo_responsavel,str,100.0,0,top3={}
optante_simples,bool,0.0,2,"min=False, mediana=0.0, max=True"
data_opcao_simples,str,2.97,1496,"top3={'20260101': 955, '20240101': 790, '20250101': 768}"
data_exclusao_simples,str,2.97,3213,"top3={'00000000': 14805, '20241231': 2041, '20251231': 1143}"
optante_mei,bool,0.0,2,"min=False, mediana=0.0, max=True"
data_opcao_mei,str,2.97,1203,"top3={'00000000': 8677, '20250101': 284, '20260101': 259}"
data_exclusao_mei,str,2.97,3191,"top3={'00000000': 17377, '20241231': 1850, '20251231': 778}"
alvo_baixada,int64,0.0,2,"min=0, mediana=1.0, max=1"
